Model Name,Accuracy,Precision,Recall,F1-Score
svm_lemma_cv,56.54205607476636,53.2258064516129,94.28571428571428,68.04123711340205
svm_lemma_tf,56.54205607476636,53.2258064516129,94.28571428571428,68.04123711340205
svm_port_cv,56.30841121495327,53.06666666666666,94.76190476190476,68.03418803418803
svm_port_tf,57.242990654205606,53.6,95.71428571428572,68.71794871794872
rf_lemma_cv,56.77570093457944,53.333333333333336,95.23809523809523,68.37606837606836
rf_lemma_tf,57.242990654205606,53.6,95.71428571428572,68.71794871794872
rf_port_cv,56.77570093457944,53.35120643431635,94.76190476190476,68.26758147512865
rf_port_tf,56.54205607476636,53.2258064516129,94.28571428571428,68.04123711340205
dt_lemma_cv,55.140186915887845,52.34375,95.71428571428572,67.67676767676768
dt_lemma_tf,56.54205607476636,53.17460317460318,95.71428571428572,68.36734693877551
dt_port_cv,55.84112149532711,52.74151436031331,96.19047619047619,68.12816188870153
dt_port_tf,56.54205607476636,53.17460317460318,95.71428571428572,68.36734693877551
nb_lemma_cv,53.97196261682243,51.61290322580645,99.04761904761905,67.86296900489396
nb_port_tf,53.97196261682243,51.61290322580645,99.04761904761905,67.86296900489396
nb_port_cv,53.73831775700935,51.515151515151516,97.14285714285714,67.32673267326732
nb_port_tf,53.73831775700935,51.49253731343284,98.57142857142858,67.64705882352942
knn_lemma_cv,56.074766355140184,52.956989247311824,93.80952380952381,67.69759450171821
knn_lemma_tf,56.30841121495327,53.00261096605744,96.66666666666667,68.46543001686341
knn_port_cv,56.54205607476636,53.2258064516129,94.28571428571428,68.04123711340205
knn_port_tf,56.54205607476636,53.191489361702125,95.23809523809523,68.25938566552901
