Model Name,Accuracy,Precision,Recall,F1-Score,Parameters
svm_lemma_cv,91.58878505,90.65420561,92.38095238,91.50943396,"{'C': 5, 'gamma': 0.01, 'kernel': 'sigmoid'}"
svm_lemma_tf,93.92523364,92.20183486,95.71428571,93.92523364,"{'C': 3, 'gamma': 1, 'kernel': 'rbf'}
"
svm_port_cv,92.05607477,91.9047619,91.9047619,91.9047619,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
"
svm_port_tf,94.62616822,93.48837209,95.71428571,94.58823529,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
"
dt_lemma_cv,68.69158879,71.11111111,60.95238095,65.64102564,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'random_state': 0}
"
dt_lemma_tf,73.59813084,75.12953368,69.04761905,71.96029777,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'random_state': 0}
"
dt_port_cv,71.96261682,70.64220183,73.33333333,71.96261682,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'random_state': 0}
"
dt_port_tf,75.46728972,77.20207254,70.95238095,73.94540943,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'random_state': 0}
"
nb_lemma_cv,62.38317757,62.82722513,57.14285714,59.85037406,"
"
nb_lemma_tf,66.35514019,64.60176991,69.52380952,66.97247706,
nb_port_cv,64.48598131,65.10416667,59.52380952,62.18905473,
nb_port_tf,64.95327103,62.93103448,69.52380952,66.06334842,
knn_lemma_cv,84.57943925,83.02752294,86.19047619,84.57943925,"{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2}
"
knn_lemma_tf,92.52336449,90.45454545,94.76190476,92.55813953,"{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 15, 'p': 2}
"
knn_port_cv,89.48598131,87.33031674,91.9047619,89.55916473,"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2}
"
knn_port_tf,91.58878505,91.03773585,91.9047619,91.46919431,"{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 15, 'p': 2}
"
