user description,class
"Mother of 4, ex wife of 3. Battling health inequity & misinformation. HIV activist & broadcaster. Award winning #aidsmapLIVE host. She/Her. Personal views.:raised_fist_medium-dark_skin_tone:",0
"WCHS-TV serves the Charleston-Huntington market with the latest news, sports and weather. Share your content with us at _URL_",0
Patient Engagement | Revenue Cycle Management | Healthcare Thought Leader | #PatientStatements #PatientPayments,0
Home of the Minnesota @Twins and @Timberwolves Always live on the free @Audacy app,0
"Spectrum News 1 offers the best 24-hour local news coverage in Rochester plus weather, sports and your favorite features.",0
"Ya'll better buy Klonoa, on jah Credit to @PookaArts for icon. Follow @ChosenZela @StageCraftBeast @thelouiefuture and @CyanHyprPsychic",0
Breaking news and local stories from KENS 5 - San Antonio.,0
"Honored to represent CA's 44th Congressional District, #CA44. Member of @EnergyCommerce @HomelandDems @HispanicCaucus @USProgressives. @Dodgers fan.",0
Straight Outta Manhattan,0
Real-time Monkeypox data & News,0
"Together with our partners HHS, JCHA, JCMC, NJCU & JCPC, our mission is to create a culture of health in Jersey City, NJ.",0
Su Real Alteza Guillermo Dafid desde Casa Morillo de Andalusia y Rey de Nuevo Espana y del Gente y Conde de Cartagena y Marqués de La Puerta (1816 Fernando VII),0
"♡ Mother, Daughter, Friend & Animal lover. Founder of Enigma Films & Sarskaia. Science Nerd. Life is too short. Always look at the bright side.♡",0
Innovate your world via one click visit...!,0
None,0
Kenya's Dedicated Online Human Drugs and Medicines Pharmacy.,0
News updates from Malaysia's top English-language daily and website.,0
"News19 WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | _URL_",0
(he/him) PMHNP :rainbow_flag::transgender_flag:| personal account | probably tweeting stupid shit until i get pissed like about monkeypox | aprendendo :Brazil:,0
"Chay Time News is a news website where you can find news in every category like Politics, Entertainment, B-Town Gossips, Sports & many More.",0
"_URL_ focuses in global news, travel industry and gadget technology. We brings you the latest news from around the world.",0
Medical Device Engineer | Making Science Accessible & Understandable | Subscribe on YouTube: _URL_,0
The main air filter in your home is your families lungs. Windows+HEPA+CO2meter+Masks #Vaccinate #Ventilate #useHEPA #monitorCO2 #MaskUpN95,0
Welcome to the official Handle of theusarticles here you will find the latest news updates about the latest happening in The America & around the world,0
:movie_camera: News Reporter @news12 covering NYC:Statue_of_Liberty::red_apple: Facebook & Instagram: @faithgrahamtv,0
I'm seriously newsie. Anything I say is my own opinion. A picture is worth a thousand words.,0
"News from around the world, digital content, human interest stories by Anadolu Agency Also follow :camera_with_flash:+ :movie_camera:: @anadoluimages TR: @anadoluajansi AR: @aa_arabic",0
None,0
"Explorer, founder of Lachine, seigneur of Cataracoui, discoverer of the mouths of the Mississippi.",0
"Desmond Tutu: ""If you are neutral in situations of injustice, you have chosen the side of the oppressor.""",0
Healthy families. Thriving communities. Health equity in NYC. RT ≠ endorsement.,0
:peace_symbol::purple_heart: Blessed Be )0( #OverEducatedUnderLovedGenXCatLover #Mom #Wife #Friend #BLM #Resist #LoveIsLove #Ally #StopDomesticViolence She/her,0
"Sports, Politics, Entertainment, Commerce, Technology, Relationships and Law (SPECTRaL) Enthusiast; Host: @RacialDraftPod; @ThePopBreak; He/Him",0
"Culture Worker | Curator, Essayist, Arts Educator - Multicultic Afro-diasporic Healer | Yayi Nkisi Malongo, Muertera, Espiritista",0
DAWG,0
"The Philadelphia Inquirer is your front-row seat to the Greater Philadelphia region. You can support local, impactful journalism at _URL_",0
"Past President NSLP, Past Director (NS) LPC, Professor, Editor Stuart Texts (_URL_ Past Chair, _URL_ _URL_",0
Know Your City. News serving everyone with a stake in the future of San Francisco.,0
Journalist @wnemtv5news. @_hamptonu & @waynestate alum. Child of God. Native Detroiter. My tweets are not affiliated with any organization.,0
"Certified Paralegal. former photog for the @AP @NYTimes @LATimes Swimmer, runner, and cyclist. #JohnLewisVotingRightsAct",0
Buffalonian. Words in @currentpubmedia @Washingtonpost @BlockClubChi @Citylab DM for Signal,0
I want a world where everyone belongs and is valued. #WarrenDemocrat #Boomer She/Her Vaccinated against Covid-19,0
"Fun, friendly, witty 60 year old man who loves animals and kind kindred people.",0
"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",0
"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",0
"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",0
"Follow for breaking news, stories, photos, RTs of our journalists and more",0
Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,0
Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,0
The news that matters to you from local experts and trusted sources. Always live on the free @Audacy app.,0
Very safe. Perfectly normal.,0
"_URL_ provides Top Latest Breaking News of Technology, Science, Entertainment, Politics, Sports, etc.",0
None,0
24/7 News From Around the World,0
