hashtag,class
"monkeypox, aidsmapLIVE",0
,0
"Monkeypox, healthcare",0
,0
,0
,0
,0
,0
,0
"monkeypox, Credit, Cash, Monkeypoxalypse, MonkeypoxVirus",0
"MonkeyPox, Monkeypox, HealthierJC",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"monkeypox, Covid",0
,0
,0
,0
,0
,0
,0
,0
,0
TikTok,0
,0
,0
,0
,0
,0
,0
monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
WestBengal,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"topstories, news, berkleybearnews",0
,0
SmartNews,0
,0
,0
,0
,0
,0
StaySafeSF,0
,0
,0
,0
,0
,0
"CA, SF, frisco, SFBay",0
,0
,0
,0
,0
monkeypox,0
,0
"sfstandard, localnews, sanfrancisco, bayarea",0
,0
,0
123INFO,0
"monkeypox, MonkeypoxVirus, Tpoxx, BorisJohnson",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Monkeypox,0
,0
Monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
NewZealand,0
,0
Australia,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Singapore,0
,0
news,0
monkeypox,0
,0
,0
"ecosistemaonline, miradaonline, gloo, uomoelegante",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Trinidad,0
America,0
,0
,0
,0
,0
"Biotech, Healthcare, Testing, Monkeypox, HEOR",0
,0
,0
,0
,0
"Monkeypox, Northwell, FireIsland",0
,0
,0
,0
,0
,0
Jamaica,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
SmartNews,0
,0
,0
,0
,0
monkeypox,0
,0
,0
"monkeypox, ShinzoAbe, Arafat, Monkeypoxalypse, MonkeypoxVirus",0
,0
,0
,0
,0
,0
,0
,0
,0
Vancouver,0
,0
,0
,0
,0
"Reported, Monkeypox, Vancouver, Island",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
monkeypox,0
,0
,0
,0
,0
,0
,0
world,0
,0
,0
,0
,0
,0
FDA,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
CDC,0
,0
monkeypox,0
monkeypox,0
monkeypox,0
monkeypox,0
monkeypox,0
monkeypox,0
"monkeypox, CDC",0
monkeypox,0
"monkeypox, CDC",0
,0
monkeypox,0
"monkeypox, CDC",0
monkeypox,0
"CDCgov, monkeypox",0
monkeypox,0
"monkeypox, COVID19",0
monkeypox,0
monkeypox,0
,0
,0
,0
,0
,0
Biden,0
,0
,0
,0
,0
,0
"Miami, Monkeypox, Florida",0
,0
,0
,0
,0
,0
"WritingCommunity, writerslife, books, authors, COVID19, coronavirusoutbreak, amwriting",0
monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"monkeypox, DisabilityTwitter",0
"Medium, Monkeypoxalypse, SaturdayMotivation",0
Monkeypox,0
,0
,0
"Covid19, VisitGuanajuato, SecretariadeSalud, SDES, PuertoInterior, Coronavirus, 17381, TraveltoGuanajuato, GREEN, BusinessinGuanajuato, GtoGobierno, COFOCE",0
"centivox, Covid",0
,0
,0
,0
,0
,0
,0
Monkeypox,0
,0
,0
Monkeypox,0
Monkeypox,0
monkeypox,0
childsafety,0
,0
,0
,0
,0
,0
,0
,0
,0
Monkeypox,0
,0
,0
,0
monkeypox,0
,0
,0
,0
"Monkeypox, Biden",0
monkeypox,0
,0
,0
,0
,0
,0
,0
LGBTQ,0
,0
,0
,0
,0
monkeypox,0
,0
,0
,0
,0
,0
Portuguese,0
Monkeypox,0
health,0
,0
,0
,0
"monkeypox, BREAKING, India",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"monkeypox, vaccine",0
,0
Health,0
,0
First,0
,0
petalinews,0
The,0
,0
,0
"read, NYT",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"trending, news",0
,0
,0
"monkeypox, CDC, monkeypoxvirus, NewYorkCity, Biden, NYC, washingtonpost, DemVoice1, monkeypoxvaccine, WhiteHouse, ericadams",0
,0
,0
"houston, monkeypox, CDC, mednews, medicalnews, houstontx, HarrisCounty",0
First,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"monkeypox, COVID19, ViralFactsAfrica",0
8NN,0
,0
,0
,0
,0
,0
"monkeypox, publichealth, vaccine",0
,0
"Health, Monkeypox, Officials, Confirm",0
,0
,0
,0
,0
,0
"News, NYT",0
,0
,0
,0
"RemoveRon, CovidCentralIsNowMonkeyPoxed",0
Learning,0
lifestyleswithlaura,0
,0
,0
,0
Health,0
,0
,0
,0
AkhbarAlYawm,0
,0
,0
,0
,0
,0
,0
,0
"monkeypox, testing",0
"monkeypox, testing",0
"monkeypox, testing",0
"DC, MONKEYPOX",0
"monkeypox, USA",0
"Monkeypox, vaccinations, Affenpocken",0
,0
,0
,0
Monkeypox,0
,0
,0
,0
,0
,0
,0
,0
"Germany, news",0
"COVID19, coronavirus",0
,0
,0
,0
,0
,0
,0
"RT, monkeypox, testing",0
,0
,0
,0
"monkeypox, WearAMask, WHO, Epidemiology, biostatistics, epitwitter, MonkeypoxVirus",0
,0
,0
,0
,0
"assumptions, should, could",0
,0
,0
monkeypox,0
Man,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
