hashtag,class
"aidsmapLIVE, monkeypox",0
,0
"healthcare, Monkeypox",0
,0
,0
,0
,0
,0
,0
"MonkeypoxVirus, Credit, Monkeypoxalypse, monkeypox, Cash",0
"HealthierJC, Monkeypox, MonkeyPox",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"monkeypox, Covid",0
,0
,0
,0
,0
,0
,0
,0
,0
TikTok,0
,0
,0
,0
,0
,0
,0
monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
WestBengal,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"topstories, news, berkleybearnews",0
,0
SmartNews,0
,0
,0
,0
,0
,0
StaySafeSF,0
,0
,0
,0
,0
,0
"CA, SFBay, SF, frisco",0
,0
,0
,0
,0
monkeypox,0
,0
"localnews, sfstandard, bayarea, sanfrancisco",0
,0
,0
123INFO,0
"Tpoxx, MonkeypoxVirus, BorisJohnson, monkeypox",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Monkeypox,0
,0
Monkeypox,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
NewZealand,0
,0
Australia,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Singapore,0
,0
news,0
monkeypox,0
,0
,0
"miradaonline, uomoelegante, ecosistemaonline, gloo",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Trinidad,0
America,0
,0
,0
,0
,0
"Monkeypox, Testing, Healthcare, HEOR, Biotech",0
,0
,0
,0
,0
"FireIsland, Monkeypox, Northwell",0
,0
,0
,0
,0
,0
Jamaica,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
SmartNews,0
,0
,0
,0
,0
monkeypox,0
,0
,0
"MonkeypoxVirus, Arafat, Monkeypoxalypse, monkeypox, ShinzoAbe",0
,0
,0
,0
,0
,0
,0
,0
,0
Vancouver,0
,0
,0
