user_account_age_months,user is verified,user has url,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,class
131,0,0,2,0,2,0,3696,2993,3459,25,0
159,1,1,2,0,1,0,75836,1753,125528,531,0
40,0,0,0,0,0,0,2852,2381,10615,14,0
161,1,1,1,0,1,0,22897,5665,119258,663,0
165,1,1,0,0,0,0,81296,466,148219,747,0
17,0,1,0,0,0,0,861,4948,20732,3,0
157,1,1,3,1,0,1,177362,528,230286,1132,0
66,1,1,6,1,8,0,32877,9353,8058,807,0
117,0,1,0,0,0,0,63,1,71719,0,0
0,0,1,0,0,0,0,853,0,78,0,0
76,0,1,0,0,0,0,2245,1582,7434,30,0
131,0,1,0,0,0,0,530,499,144866,2,0
138,0,0,0,0,0,0,2660,5002,223398,338,0
12,0,1,0,0,0,0,5,1,8767,0,0
141,0,0,0,0,0,0,787,4973,1248889,98,0
92,1,1,0,0,0,0,1362,278,23289,10,0
160,1,1,1,0,0,0,1793873,252,477725,4106,0
164,1,1,1,0,0,0,124132,3262,491971,1112,0
154,0,1,0,0,2,0,8819,1242,2059,11,0
37,0,1,0,0,0,0,301,953,116473,2,0
33,0,1,0,0,0,0,129,2,396239,6,0
66,0,1,3,1,5,0,39604,308,2936,378,0
49,0,0,0,0,1,0,1296,725,22836,19,0
6,0,1,0,0,0,0,22,123,29902,1,0
42,1,0,1,1,4,0,5150,485,1082,20,0
68,0,0,0,0,0,0,538,2150,221949,3,0
138,1,1,1,0,2,0,189132,28,289329,2304,0
148,0,0,0,0,0,0,24970,27466,954911,8,0
88,1,0,4,16,28,4,130677,1107,160240,1240,0
159,1,0,27,3,47,2,475954,1471,98048,3419,0
75,0,1,0,0,1,0,2529,2083,4199,27,0
86,0,0,0,0,0,0,3247,4990,85747,41,0
160,0,0,0,0,0,0,2041,1755,314871,113,0
171,0,1,1,0,3,0,5436,1665,30087,87,0
4,0,0,0,0,0,0,7,57,5522,0,0
172,1,1,5,0,5,1,433497,1228,220191,3078,0
124,0,1,0,0,0,0,1043,2012,49281,0,0
18,1,1,1,0,2,0,8392,458,4208,128,0
158,1,0,0,0,0,0,1319,1037,22318,29,0
165,0,1,0,1,0,0,3832,5001,156862,349,0
140,1,1,2,1,0,0,7829,8947,36840,180,0
93,0,0,0,1,0,0,1726,1678,65872,15,0
0,0,0,0,0,0,0,0,1,608,0,0
17,0,1,0,1,0,0,528,618,1297,0,0
17,0,1,0,1,2,0,528,618,1297,0,0
17,0,1,0,1,0,0,528,618,1297,0,0
162,1,1,3,0,3,0,31580,104,67493,568,0
157,1,1,1,1,10,1,44002,253,58701,597,0
157,1,1,1,1,12,0,44002,253,58701,597,0
159,1,1,0,0,0,0,5755,1868,38554,262,0
133,0,0,0,2,5,0,9265,2009,104792,138,0
11,0,1,0,0,0,0,58,72,23796,0,0
63,0,1,0,0,0,0,145,417,54244,0,0
4,0,1,0,0,0,0,88,11,58096,0,0
107,0,0,0,0,0,0,71,318,2606,1,0
143,0,0,0,0,0,0,1282,1349,48350,5,0
158,0,1,1,0,11,1,1841,988,43307,7,0
76,0,0,0,1,0,0,1392,422,148340,5,0
167,1,1,9,8,4,0,343829,1953,265640,4564,0
143,0,1,0,1,1,0,2016,406,36092,1,0
