number,created_at,text,source,user is verified,user has url,user description,user created at,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,user location,binary_class,ternary_class
18,2022-07-08 10:12:04,Much of the focus on #monkeypox recently has been on how its affecting people in richer countries during this current outbreak. Dr Charles Mahzude spoke to me on #aidsmapLIVE about what we know from West Africa where moneypox is endemic about how it affects people with HIV. _URL_,Twitter Web App,False,False,"Mother of 4, ex wife of 3. Battling health inequity & misinformation. HIV activist & broadcaster. Award winning #aidsmapLIVE host. She/Her. Personal views.:raised_fist_medium-dark_skin_tone:",2011-08-14 19:22:06,2,0,2,0,3696,2993,3459,25,"London, England",0,0
31,2022-07-09 00:00:00,"ICYMI: The first probable case of monkeypox in West Virginia has been identified, state health officials announced Friday. _URL_",TweetDeck,True,True,"WCHS-TV serves the Charleston-Huntington market with the latest news, sports and weather. Share your content with us at _URL_",2009-04-17 15:21:43,2,0,1,0,75836,1753,125528,531,"Charleston, WV",0,0
32,2022-07-09 00:00:01,WHO: #Monkeypox outbreak not yet a global public health emergency _URL_ via @statnews #healthcare _URL_,eClincher,False,False,Patient Engagement | Revenue Cycle Management | Healthcare Thought Leader | #PatientStatements #PatientPayments,2019-03-05 19:24:33,0,0,0,0,2852,2381,10615,14,"Utah, USA",0,0
33,2022-07-09 00:00:04,"According to the CDC, monkeypox is usually spread by prolonged, direct contact with a person who has an infectious rash or scab. Monkeypox symptoms can include a fever, headache, muscle aches, swollen lymph nodes, chills and exhaustion. _URL_",Sprout Social,True,True,Home of the Minnesota @Twins and @Timberwolves Always live on the free @Audacy app,2009-02-18 14:57:13,1,0,1,0,22897,5665,119258,663,Downtown Minneapolis,0,0
34,2022-07-09 00:00:07,LGBTQ advocates and health care organizations raised alarms on Thursday with public health officials' response to the monkeypox outbreak in New York amid concerns over access to vaccines and updated data. _URL_,SocialNewsDesk,True,True,"Spectrum News 1 offers the best 24-hour local news coverage in Rochester plus weather, sports and your favorite features.",2008-10-27 02:14:13,0,0,0,0,81296,466,148219,747,"Rochester, NY",0,0
35,2022-07-09 00:00:13,@Slinderboy @smg4official Anyone can contract monkeypox.,Twitter Web App,False,True,"Ya'll better buy Klonoa, on jah Credit to @PookaArts for icon. Follow @ChosenZela @StageCraftBeast @thelouiefuture and @CyanHyprPsychic",2021-02-21 01:08:42,0,0,0,0,861,4948,20732,3,the void,0,0
37,2022-07-09 00:00:17,"NEW INFO: The number of monkeypox cases in Texas is now 27, according to the Department of State Health Services. That's up from 20 on Tuesday. _URL_",SocialNewsDesk,True,True,Breaking news and local stories from KENS 5 - San Antonio.,2009-06-11 05:56:15,3,1,0,1,177362,528,230286,1132,"San Antonio, Texas",0,0
39,2022-07-09 00:00:19,Here's how you can get tested for Monkeypox if you think you've been infected :backhand_index_pointing_down: _URL_,Twitter for iPhone,True,True,"Honored to represent CA's 44th Congressional District, #CA44. Member of @EnergyCommerce @HomelandDems @HispanicCaucus @USProgressives. @Dodgers fan.",2017-01-05 02:29:18,6,1,8,0,32877,9353,8058,807,"San Pedro, CA",0,0
41,2022-07-09 00:00:27,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",WordPress.com,False,True,Straight Outta Manhattan,2012-10-11 23:21:03,0,0,0,0,63,1,71719,0,"Manhattan, NY",0,0
42,2022-07-09 00:00:31,"07/08/2022 11:11 PM UTC  :newspaper: Monkeypox in the Bay Area: From Symptoms to How to Find a Vaccine, Here's What We Know [KQED]  :backhand_index_pointing_right: Latest monkeypox news around the :globe_showing_Americas: _URL_   #MonkeypoxVirus #monkeypox #Monkeypoxalypse #Cash #Credit",Monkeypox News & Data,False,True,Real-time Monkeypox data & News,2022-07-03 15:43:58,0,0,0,0,853,0,78,0,None,0,0
