number,created_at,text,source,user is verified,user has url,user has alt account,user description,user created at,account_age_months,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,engagement,user location,binary_class,ternary_class
18,7/8/22 10:12,Much of the focus on #monkeypox recently has been on how its affecting people in richer countries during this current outbreak. Dr Charles Mahzude spoke to me on #aidsmapLIVE about what we know from West Africa where moneypox is endemic about how it affects people with HIV. _URL_,Twitter Web App,0,0,0,"Mother of 4, ex wife of 3. Battling health inequity & misinformation. HIV activist & broadcaster. Award winning #aidsmapLIVE host. She/Her. Personal views.:raised_fist_medium-dark_skin_tone:",8/14/11 19:22,130,2,0,2,0,3696,2993,3459,25,0.108225108,"London, England",0,0
31,7/9/22 0:00,"ICYMI: The first probable case of monkeypox in West Virginia has been identified, state health officials announced Friday. _URL_",TweetDeck,1,1,0,"WCHS-TV serves the Charleston-Huntington market with the latest news, sports and weather. Share your content with us at _URL_",4/17/09 15:21,158,2,0,1,0,75836,1753,125528,531,0.003955905,"Charleston, WV",0,0
32,7/9/22 0:00,WHO: #Monkeypox outbreak not yet a global public health emergency _URL_ via @statnews #healthcare _URL_,eClincher,0,0,0,Patient Engagement | Revenue Cycle Management | Healthcare Thought Leader | #PatientStatements #PatientPayments,3/5/19 19:24,40,0,0,0,0,2852,2381,10615,14,0,"Utah, USA",0,0
33,7/9/22 0:00,"According to the CDC, monkeypox is usually spread by prolonged, direct contact with a person who has an infectious rash or scab. Monkeypox symptoms can include a fever, headache, muscle aches, swollen lymph nodes, chills and exhaustion. _URL_",Sprout Social,1,1,0,Home of the Minnesota @Twins and @Timberwolves Always live on the free @Audacy app,2/18/09 14:57,160,1,0,1,0,22897,5665,119258,663,0.008734769,Downtown Minneapolis,0,0
34,7/9/22 0:00,LGBTQ advocates and health care organizations raised alarms on Thursday with public health officials' response to the monkeypox outbreak in New York amid concerns over access to vaccines and updated data. _URL_,SocialNewsDesk,1,1,0,"Spectrum News 1 offers the best 24-hour local news coverage in Rochester plus weather, sports and your favorite features.",10/27/08 2:14,164,0,0,0,0,81296,466,148219,747,0,"Rochester, NY",0,0
35,7/9/22 0:00,@Slinderboy @smg4official Anyone can contract monkeypox.,Twitter Web App,0,1,0,"Ya'll better buy Klonoa, on jah Credit to @PookaArts for icon. Follow @ChosenZela @StageCraftBeast @thelouiefuture and @CyanHyprPsychic",2/21/21 1:08,16,0,0,0,0,861,4948,20732,3,0,the void,0,0
37,7/9/22 0:00,"NEW INFO: The number of monkeypox cases in Texas is now 27, according to the Department of State Health Services. That's up from 20 on Tuesday. _URL_",SocialNewsDesk,1,1,0,Breaking news and local stories from KENS 5 - San Antonio.,6/11/09 5:56,156,3,1,0,1,177362,528,230286,1132,0.002819093,"San Antonio, Texas",0,0
39,7/9/22 0:00,Here's how you can get tested for Monkeypox if you think you've been infected :backhand_index_pointing_down: _URL_,Twitter for iPhone,1,1,0,"Honored to represent CA's 44th Congressional District, #CA44. Member of @EnergyCommerce @HomelandDems @HispanicCaucus @USProgressives. @Dodgers fan.",1/5/17 2:29,66,6,1,8,0,32877,9353,8058,807,0.045624601,"San Pedro, CA",0,0
41,7/9/22 0:00,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",WordPress.com,0,1,0,Straight Outta Manhattan,10/11/12 23:21,116,0,0,0,0,63,1,71719,0,0,"Manhattan, NY",0,0
42,7/9/22 0:00,"07/08/2022 11:11 PM UTC  :newspaper: Monkeypox in the Bay Area: From Symptoms to How to Find a Vaccine, Here's What We Know [KQED]  :backhand_index_pointing_right: Latest monkeypox news around the :globe_showing_Americas: _URL_   #MonkeypoxVirus #monkeypox #Monkeypoxalypse #Cash #Credit",Monkeypox News & Data,0,1,0,Real-time Monkeypox data & News,7/3/22 15:43,0,0,0,0,0,853,0,78,0,0,None,0,0
